WGT,AGE,EDUC,LF,FOODHOME,FOODAWAY,FOODDELV,RENT,INCOME,WAGEINC,INTDIVINC,KGINC,SAVING,LIQ,FIN,ASSET,NFIN,DEBT,NETWORTH,TPAY,PIRTOTAL
22114.85992,32,12,1,0,5200,5200,1900.0,49721.943888,43236.472946,0.0,0.0,3000,13000,13000,44000.0,31000.0,0,44000.0,0.0,0.0
22343.582708,32,12,1,0,5200,5200,1900.0,49721.943888,43236.472946,0.0,0.0,3000,13000,13000,43000.0,30000.0,0,43000.0,0.0,0.0
22309.373219,32,12,1,0,5200,5200,1900.0,49721.943888,43236.472946,0.0,0.0,3000,13000,13000,44000.0,31000.0,0,44000.0,0.0,0.0
22114.676901,32,12,1,0,5200,5200,1900.0,49721.943888,43236.472946,0.0,0.0,3000,13000,13000,44000.0,31000.0,0,44000.0,0.0,0.0
2680.1403691,46,13,1,5400,1800,0,0.0,86472.945892,86472.945892,0.0,0.0,0,2500,2500,230300.0,227800.0,145800,84500.0,1520.0,0.2109330243
2561.2490484,46,13,1,5400,1800,0,0.0,86472.945892,86472.945892,0.0,0.0,0,2500,2500,229300.0,226800.0,145800,83500.0,1520.0,0.2109330243
2615.6384228,46,13,1,5400,1800,0,0.0,86472.945892,86472.945892,0.0,0.0,0,2500,2500,230300.0,227800.0,145800,84500.0,1520.0,0.2109330243
2612.8531139,46,13,1,5400,1800,0,0.0,86472.945892,86472.945892,0.0,0.0,0,2500,2500,230300.0,227800.0,145800,84500.0,1520.0,0.2109330243
2576.8246081,46,13,1,5400,1800,0,0.0,86472.945892,86472.945892,0.0,0.0,0,2500,2600,229400.0,226800.0,145800,83600.0,1520.0,0.2109330243
445.84818684,75,12,1,7800,3600,0,0.0,1887272.0441,0.0,586935.12024,108091.18236,0,207000,31082000,46867500.0,15785500.0,0,46867500.0,0.0,0.0
445.45134498,75,12,1,7800,3600,0,0.0,1929427.6052,0.0,670165.33066,108091.18236,0,56000,24909000,41904600.0,16995600.0,0,41904600.0,0.0,0.0
449.13777959,75,12,1,7800,3600,0,0.0,1902404.8096,0.0,583692.38477,108091.18236,0,150000,20684000,37359600.0,16675600.0,0,37359600.0,0.0,0.0
454.24830761,75,12,1,7800,3600,0,0.0,1890514.7796,0.0,631252.50501,108091.18236,0,84000,27709000,44014600.0,16305600.0,0,44014600.0,0.0,0.0
453.21156048,75,12,1,7800,3600,0,0.0,1941317.6353,0.0,583692.38477,108091.18236,0,19000,22314000,40889500.0,18575500.0,0,40889500.0,0.0,0.0
3424.987204,52,12,1,15000,7000,5000,0.0,306978.95792,291846.19238,2486.0971944,12970.941884,308100,425200,2877200,3435200.0,558000.0,0,3435200.0,0.0,0.0
3753.2989222,52,12,1,15000,7000,5000,0.0,306978.95792,291846.19238,2486.0971944,12970.941884,308100,425200,2859200,3418200.0,559000.0,0,3418200.0,0.0,0.0
4073.2895579,52,12,1,15000,7000,5000,0.0,308059.86974,291846.19238,2486.0971944,12970.941884,308100,425200,2831200,3388200.0,557000.0,0,3388200.0,0.0,0.0
3647.5048057,52,12,1,15000,7000,5000,0.0,306978.95792,291846.19238,2486.0971944,12970.941884,308100,425200,2890200,3449200.0,559000.0,0,3449200.0,0.0,0.0
3529.1493775,52,12,1,15000,7000,5000,0.0,308059.86974,291846.19238,2486.0971944,12970.941884,308100,425200,2848200,3405200.0,557000.0,0,3405200.0,0.0,0.0
20117.990097,62,10,0,4800,3600,0,0.0,57288.326653,0.0,0.0,0.0,0,1000,1000,116700.0,115700.0,33800,82900.0,760.0,0.1591947353
18778.053292,62,10,0,4800,3600,0,0.0,57288.326653,0.0,0.0,0.0,0,1000,1000,112800.0,111800.0,33700,79100.0,760.0,0.1591947353
19062.18733,62,10,0,4800,3600,0,0.0,57288.326653,0.0,0.0,0.0,0,1000,1000,113500.0,112500.0,33400,80100.0,760.0,0.1591947353
18989.536385,62,10,0,4800,3600,0,0.0,57288.326653,0.0,0.0,0.0,0,1000,1000,111900.0,110900.0,33400,78500.0,760.0,0.1591947353
18857.194369,62,10,0,4800,3600,0,0.0,57288.326653,0.0,0.0,0.0,0,1000,1000,112200.0,111200.0,33750,78450.0,750.0,0.1571000678
6933.5373355,63,14,1,12000,8400,0,0.0,324273.54709,324273.54709,0.0,0.0,0,220000,1598000,2556000.0,958000.0,165000,2391000.0,3375.0,0.1248945539
8164.2458332,63,14,1,12000,8400,0,0.0,324273.54709,324273.54709,0.0,0.0,0,220000,1617000,2574000.0,957000.0,152690,2421310.0,3067.25,0.1135060209
3509.8946165,63,14,1,12000,8400,0,0.0,324273.54709,324273.54709,0.0,0.0,0,220000,3508000,4466000.0,958000.0,150000,4316000.0,3000.0,0.1110173812
7006.14155,63,14,1,12000,8400,0,0.0,324273.54709,324273.54709,0.0,0.0,0,220000,1161000,2118000.0,957000.0,160300,1957700.0,3257.5,0.1205463731
3041.4780126,63,14,1,12000,8400,0,0.0,324273.54709,324273.54709,0.0,0.0,0,220000,2884000,3842000.0,958000.0,150000,3692000.0,3000.0,0.1110173812
47.865851169,57,12,1,15600,15600,0,0.0,3480536.0721,0.0,1118743.7375,117819.38878,450000,1570000,11540000,87236000.0,75696000.0,780000,86456000.0,3000.0,0.0103432343
47.44788337,57,12,1,15600,15600,0,0.0,3956137.2745,0.0,1130633.7675,486410.32064,450000,1570000,10640000,86335000.0,75695000.0,780000,85555000.0,3000.0,0.0090997853
47.819706104,57,12,1,15600,15600,0,0.0,3069789.5792,0.0,1129552.8557,579368.73747,450000,1570000,15820000,91517000.0,75697000.0,780000,90737000.0,3000.0,0.0117271882
48.789293852,57,12,1,15600,15600,0,0.0,3772382.2645,0.0,1121986.4729,171864.97996,450000,1570000,15340000,91036000.0,75696000.0,780000,90256000.0,3000.0,0.0095430414
48.14878109,57,12,1,15600,15600,0,0.0,4680348.1964,0.0,1131714.6794,1080911.8236,450000,1570000,11000000,86695000.0,75695000.0,780000,85915000.0,3000.0,0.0076917354
4083.8250437,41,8,1,10800,360,0,1700.0,42155.561122,42155.561122,0.0,0.0,300,320,2420,12420.0,10000.0,9800,2620.0,340.0,0.0967843836
3995.2529154,41,8,1,10800,360,0,1700.0,42155.561122,42155.561122,0.0,0.0,300,310,3110,13110.0,10000.0,9800,3310.0,330.0,0.0939377841
4024.6616167,41,8,1,10800,360,0,1700.0,42155.561122,42155.561122,0.0,0.0,300,320,3820,14820.0,11000.0,9800,5020.0,340.0,0.0967843836
4023.4574221,41,8,1,10800,360,0,1700.0,42155.561122,42155.561122,0.0,0.0,300,310,2470,13470.0,11000.0,9800,3670.0,340.0,0.0967843836
3977.8495128,41,8,1,10800,360,0,1800.0,42155.561122,42155.561122,0.0,0.0,300,320,4620,15620.0,11000.0,9800,5820.0,340.0,0.0967843836
13312.145307,19,9,0,600,360,0,700.0,12970.941884,0.0,0.0,0.0,0,520,520,520.0,0.0,0,520.0,0.0,0.0
13413.744495,19,9,0,600,360,0,700.0,12970.941884,0.0,0.0,0.0,0,140,140,140.0,0.0,0,140.0,0.0,0.0
13412.092016,19,9,0,600,360,0,700.0,12970.941884,0.0,0.0,0.0,0,60,60,60.0,0.0,0,60.0,0.0,0.0
13551.774656,19,9,0,600,360,0,700.0,12970.941884,0.0,0.0,0.0,0,50,50,50.0,0.0,0,50.0,0.0,0.0
13444.977243,19,9,0,600,360,0,700.0,12970.941884,0.0,0.0,0.0,0,230,230,230.0,0.0,0,230.0,0.0,0.0
1971.0027329,51,8,1,2400,0,1200,850.0,71340.180361,51883.767535,0.0,0.0,0,300,300,300.0,0.0,1000,-700.0,0.0,0.0
1932.7158134,51,8,1,2400,0,1200,970.0,58369.238477,36751.002004,0.0,0.0,0,670,670,670.0,0.0,1000,-330.0,0.0,0.0
1936.3102899,51,8,1,2400,0,1200,970.0,54045.591182,35670.09018,0.0,0.0,0,320,320,320.0,0.0,1000,-680.0,0.0,0.0
1986.805214,51,8,1,2400,0,1200,860.0,54045.591182,34589.178357,0.0,0.0,0,600,600,600.0,0.0,1000,-400.0,0.0,0.0
1931.4586934,51,8,1,2400,0,1200,680.0,46479.208417,28103.707415,0.0,0.0,0,430,430,430.0,0.0,1000,-570.0,0.0,0.0
6286.0501143,62,11,1,720,4680,0,830.0,43236.472946,43236.472946,0.0,0.0,200,3700,3700,560700.0,557000.0,128000,432700.0,870.0,0.2414628042
6334.197005,62,11,1,720,4680,0,830.0,43236.472946,43236.472946,0.0,0.0,200,3700,3700,559700.0,556000.0,129000,430700.0,880.0,0.2442382387
6728.0153711,62,11,1,720,4680,0,830.0,43236.472946,43236.472946,0.0,0.0,200,3700,3700,559700.0,556000.0,129000,430700.0,880.0,0.2442382387
6512.0021933,62,11,1,720,4680,0,830.0,43236.472946,43236.472946,0.0,0.0,200,3700,3700,560700.0,557000.0,129000,431700.0,870.0,0.2414628042
6846.3203372,62,11,1,720,4680,0,830.0,43236.472946,43236.472946,0.0,0.0,200,3700,3700,559700.0,556000.0,129000,430700.0,880.0,0.2442382387
7701.6196174,68,12,0,18000,2080,0,0.0,95120.240481,32.427354709,6874.5991984,205.37324649,198000,230000,1445000,2720900.0,1275900.0,0,2720900.0,0.0,0.0
9064.8302566,68,12,0,18000,2080,0,0.0,95120.240481,21.618236473,6874.5991984,205.37324649,198000,230000,1332000,2626900.0,1294900.0,0,2626900.0,0.0,0.0
6496.480099,68,12,0,18000,2080,0,0.0,96201.152305,32.427354709,6874.5991984,194.56412826,198000,230000,1332000,2593500.0,1261500.0,0,2593500.0,0.0,0.0
7777.5575026,68,12,0,18000,2080,0,0.0,96201.152305,32.427354709,6874.5991984,205.37324649,197000,229000,1478000,2751900.0,1273900.0,0,2751900.0,0.0,0.0
7005.4805713,68,12,0,18000,2080,0,0.0,95120.240481,21.618236473,6874.5991984,194.56412826,197100,229100,1348100,2625000.0,1276900.0,0,2625000.0,0.0,0.0
11364.335766,23,9,1,3000,2400,0,920.0,43236.472946,41074.649299,0.0,0.0,500,960,960,7760.0,6800.0,0,7760.0,0.0,0.0
11744.934414,23,9,1,3000,2400,0,920.0,43236.472946,41074.649299,0.0,0.0,500,970,970,12070.0,11100.0,0,12070.0,0.0,0.0
11388.437624,23,9,1,3000,2400,0,920.0,60531.062124,41074.649299,0.0,0.0,500,960,960,8460.0,7500.0,0,8460.0,0.0,0.0
11723.022029,23,9,1,3000,2400,0,920.0,44317.38477,41074.649299,0.0,0.0,500,970,970,8570.0,7600.0,0,8570.0,0.0,0.0
11469.061251,23,9,1,3000,2400,0,920.0,45398.296593,41074.649299,0.0,0.0,500,960,960,10760.0,9800.0,0,10760.0,0.0,0.0
7928.4801469,52,8,1,10400,2600,3120,0.0,324273.54709,324273.54709,0.0,0.0,0,6000,36000,798000.0,762000.0,440500,357500.0,7839.1666667,0.2900945848
7959.1143785,52,8,1,10400,2600,3640,0.0,324273.54709,324273.54709,0.0,0.0,0,6000,36000,797000.0,761000.0,441500,355500.0,8065.8333333,0.2984825647
8568.9521087,52,8,1,10400,2600,3640,0.0,324273.54709,324273.54709,0.0,0.0,0,6000,36000,809000.0,773000.0,441500,367500.0,8055.8333333,0.2981125068
8176.283089,52,8,1,10400,2600,3120,0.0,324273.54709,324273.54709,0.0,0.0,0,6000,36000,800000.0,764000.0,441500,358500.0,8055.8333333,0.2981125068
8702.8985269,52,8,1,10400,2600,3120,0.0,324273.54709,324273.54709,0.0,0.0,0,6000,36000,828000.0,792000.0,442500,385500.0,7849.1666667,0.2904646427
12353.762728,42,11,1,2600,2400,0,0.0,70259.268537,70259.268537,0.0,0.0,0,500,22500,129200.0,106700.0,41800,87400.0,852.5,0.1456035654
11673.568435,42,11,1,2600,2400,0,0.0,59450.150301,58369.238477,0.0,0.0,0,500,9100,115800.0,106700.0,40300,75500.0,815.0,0.164507574
11698.784927,42,11,1,2600,2400,0,0.0,70259.268537,71340.180361,0.0,0.0,0,500,46500,153200.0,106700.0,42100,111100.0,860.0,0.1468845352
11905.854315,42,11,1,2600,2400,0,0.0,56207.41483,56207.41483,0.0,0.0,0,500,28500,135200.0,106700.0,38800,96400.0,777.5,0.1659923344
